query,organization
DL 8S BS 0383 5 april 2016 no helmet burari main road 4:39 pm.,dtptraffic
PNR-4118659251 This stall vendor on Tadipatri was selling drinks higher than mrp rate.,RailMinIndia
Pls help the victim.,DelhiPolice
Please check. safety. robbery.,DelhiPolice
TRNno- 02124 Full AC train runs late avg 3-4 hrs always. Fare more than other trains. No water no pantry. PNR 8402189425.,RailMinIndia
fake call got call from 9311711923. fake credit card transaction of Rs. 2500. plz help.,DelhiPolice
Sir Many complaints have been lodged with RPF for loss of mobile in Mumbai Locals but no action initiated.,RailMinIndia
2/2 Please help in getting the two revised DNs to enable me to response. ALIPS6236R.,IncomeTaxIndia
Tamilnadu Voter How money comes out for paying voters is through contractors who are given infra projects 1/2.,IncomeTaxIndia
There must be some law for such abuses ?,DelhiPolice
Can go to any extent to defame defence forces. These Con Slaves have so much hatred for.,DelhiPolice
Tough Measures :Metro commuters in Delhi will not be allowed to cover face: CISF.,DelhiPolice
There are atleast 4-5 drunkards in every coach. Breathalyzer test please? Delhi Metro.,DelhiPolice
Misleading . -- this spreading old images to spread fear n discontent kindly act.,DelhiPolice
Cc: This guy is using old pic ot Delhi protests to instigate tension in Kashmir incident against Army.,DelhiPolice
Arrest Congress worker for inciting violence against take action.,DelhiPolice
DL 11 SJ 9644 burari main road 5 april 2016 no helmet 4:33 pm.,dtptraffic
USA and India traffic rules - unruly Indians -.,dtptraffic
DL 8S BK 4202 5 april 2016 no helmet burari main road 4:32 pm.,dtptraffic
People openly consuming alcohol in park above Palika at CP.,DelhiPolice
Quick work by Congratulations.,DelhiPolice
This is the kind of Rail Bandhu magazine we get in Shatabdi?,RailMinIndia
Please note all rail staff To locate this missing person. RPF GRP to act fast.,RailMinIndia
Attention! Schools look the other way as students hop on to bikes.,DelhiPolice
Hmm. hope u find ur car soon. and . btw you should tweet registration number n model too.,DelhiPolice
Sir Subjimandi Clocktower Chock always remains jammed due to E-rickshaw pullers and rehdiwallas and parked vehicles. Pls help.,dtptraffic
is there any chance of train between tata to darbhanga.,RailMinIndia
when will the work of sewerage will complete at laal kuan at MG road? Or you can completely close this road.,dtptraffic
Traveling to Delhi on 18th April so which number of cars allowed to run that day.,dtptraffic
PSJagatpuri is so insensitive dat it went in2 ICU to record statement of victim of attempted suicide! What abt depression of vic.,DelhiPolice
sir help us Pnr no. 2217141376 n mob. No 8604481854 n in coach we are facing worst condition No water supply no electriciy.,RailMinIndia
massive jam ar vinaymarg round about n leela hotel Africa avenue stand for half an hour without any movement Pl avoid.,dtptraffic
it is your responsibility to arrange another seats. We thought that now railway is good. but this thing is not good.,RailMinIndia
For any traffic complaints in Delhi here is a rapid greviance redressal system by.,dtptraffic
01165270041-65430058 call from this number they want Credit Cards all details also OTP number do Fraud with people.,DelhiPolice
As if frequent snatchings were not enough criminals are out of control in BSZ Marg just near HQ.,DelhiPolice
Dear this ? spreading lies on social Media.,DelhiPolice
Alert Citizen --> and a very responsive ?,RailMinIndia
SrDOM Pune Division in discussion with DM Sangli. Pipe line laying to take 2-3 days.,RailMinIndia
traveling with 13151 jammutavi express to jammu S7 coch me last 4hour se water nhi hai plz help.,RailMinIndia
Congress Supporter Photoshop Caught implicating Please note.,DelhiPolice
sir today train no. 12303 poorva express 5hrs late reachd ndls. Too much late plz look into this.,RailMinIndia
Nd your office is right next to headquarters if I'm not wrong. Speaks volumes about them.,DelhiPolice
Dear if not all of Delhi at least can make a few 100 meters around their HQ crime free.,DelhiPolice
families unable to trace him. Not picking his call for last 3 hours. His cell number is 9953328302.,RailMinIndia
Vehicles specially trucks rampantly jumping traffic lights at moti bagh red light RT next to check post. Please take action.,dtptraffic
What is thr for passengers who travel in reserve coach and precious baggage get theft post midnight ? Did FIRandLOTS but NOTHING.,RailMinIndia
padmavat express 14208 please change class of sleeper to general due to waiting list passengers.,RailMinIndia
Why website never works properly though is doin fine plz help.,RailMinIndia
Multi billion dollar entity is still called charitable inst. Pays 0 tax and no social obligation. Charity for whom ?,IncomeTaxIndia
plz let me know from where do i get my seized license . seized vihar plying from badarpur toll.,dtptraffic
traffic congestion at the Delhi-Gurgaon mcd toll on NH8! why can't this be executed better?,dtptraffic
who are these people stopping cars in the middle of NH8 for Mcd toll? how can they disrupt traffic like this?,dtptraffic
There are goons on the Mcd toll everyday at delhi-ggn toll and they cause a massive traffic jam. Who's looking at this?,dtptraffic
i wish that y get ur car and urges to do something extraordinary job to find out the car and catch the culprits.,DelhiPolice
He must b taken to task !,DelhiPolice
In old Delhi railway stn few people have taken control of ticket vending machines and charges money 4 tkts1/2.,RailMinIndia
Drm sell m bolte h wellfare Inspactor se bat kro .,RailMinIndia
Offence - Tripling Place - Near Dhaula Kuan Date - 13/04/16 Time - 9 pm Reg Number - DL4S CZ 3696.,dtptraffic
Worst employee Mr. Rane at financial department of bhusaval. Not behaving properly.,RailMinIndia
Congratulations Arrest By Special Cell In Dhaula Kuan With 30 Pistols You Saved Many From Being Killed.,DelhiPolice
good work but not only seize the money put the culprits behind the bars.,IncomeTaxIndia
Great work IR and quick action. plz share this will improve the trust of in common people. culprit punshd.,RailMinIndia
Fallow and tweet Global Good Emi ASD and you can support and win some prizes. Don't miss the chance.,dtptraffic
"To applying """"Permanent No Entry Permission"""" will be start from 16th nov 2016 but remain 8 months left in this.",dtptraffic
"So what is the procedure for applying """"Short Term No Entry Permission"""" and what is the maximum validity for short term.",dtptraffic
. We've Tata Ace and we are in fruit vegetable and grocery items supply/delivery business. Please guide Thanks!,dtptraffic
can earn revenue if option to select seat of choice by virtual look of coach seating by paying Rs. 20/seat extra like theatre.,RailMinIndia
My phone got stolen in karol bagh at 10:30 pm today. How do i report the matter?,DelhiPolice
mg road par qutub minar metro station ke pas jam laga hai. plz do something.,dtptraffic
sir many trains have been provided with the extra coach but no hearing of 22910. kindly make it daily for convenience. Plz help.,RailMinIndia
crowd at rajendranagar station. Delay of 8hrs of 13288. no reply. No station master.,RailMinIndia
Hope this handled well. and better than JNU row.,DelhiPolice
Traffic jam paharganj side of New Delhi railway station traffic lights not working.,dtptraffic
So Haryana n UP tightening laws against chain snatchers expect to see rise in. Delhi.,DelhiPolice
and Multiple production of both. plz look in to. Get well soon.,DelhiPolice
sir I'm on the train 12402- magadh express. sir this train is already too much delayed please look upon its running status.,RailMinIndia
Retweeted Ministry of Railways  India Delivers Water by Train as Drought in West Intensifies.,RailMinIndia
Just saw 2 DTC buses route 623 jump red light near DLTA and then race recklessly. Does Dvr get a cut of collections?,dtptraffic
Today 8. 17 harbor line Mumbai local was cancelled y train to b cancel during office hrs?,RailMinIndia
Red light T junction between Africa Ave and Sri Venkateshwara Mandir Marg 7:50 am.,dtptraffic
thanks for take action grpf constable Amit malik.,RailMinIndia
What sense does it makes in running a sp fare train and letting the passenger tortured? 2-2 Poor!,RailMinIndia
Sir we are suffering everyday traffic problem from uttam nagar red light to uttam nagar east metro station.,dtptraffic
railmini12853 reached itarsi at 9. 10 but train enquiry app showing it reached at 8. 25. pl see.,RailMinIndia
I m in train 22406 running 9 hours late. My grandfather expired today morning and how can I involve in crimination? On:2862911358.,RailMinIndia
sir please arrange water in train no 17605.,RailMinIndia
: Hello Sir Indore To Ratlam DMU Train at 8 Pm is Daily Let 1 or 1. 5 Hour Pls Sir Help. Ese Sir Right time karwa dijiye.,RailMinIndia
How cracked the Metro station robbery case in 48 hours.,DelhiPolice
. OddEvenDobara: Do you think Delhi should get Odd Even every month? odd Evenformula.,dtptraffic
Hope noticing it !,DelhiPolice
couldn't found any improvement in BNXR overbridge as previous report by me 3tims abut human poty. depressed.,RailMinIndia
y cant u provide more/special trains for bihar? its really really annoying experience. flight is risky for mother.,RailMinIndia
CC: Now What ? FAN Tomorrow.,DelhiPolice
Terrible chaos at BRT near Birla vidya niketan school as a fight has erupted. Kindly send traffic team to clear asap.,dtptraffic
Plz help senior Citizen NDLS Rly station mobile 9971373747.,RailMinIndia
We had gr8 expectations frm NFR/IR for introduction of new trains frm SILCHAR on this BENGALI New Year.,RailMinIndia
Why Hemant Patil was not arrested 4 delaying train? Such ruckus must be handled firmly. I appeal U 2 arrest hm.,RailMinIndia
plz question why delay in rewarding volunteers?,dtptraffic
TC Duvvada pltfm4 14-04-2016 7. 15am. plz check who is on duty. highly unacceptable behavior.,RailMinIndia
Im requesting once again for train between 6am to 9am from Sre to Asr Jn via YJUD and UMB.,RailMinIndia
will he be booked?,RailMinIndia
cc this guy always defame hinduism and try to creat communal tension in society.,DelhiPolice
Dear this kind of ppl try to incite communal tension. Plz take a note.,DelhiPolice
request to please also give location link. You tell us traffic specifying road names and marg. Everyone is not familiar to d same.,dtptraffic
"I have 2 buk tickt in premium Tatkal Bt it is showing error """"buking not allowed"""". Trying Frm Lst 2hrs. Pls help me out.",RailMinIndia
No metro feeder bus/DTC/RTV from rohini 13 to sec 18 / haiderpur. I will have to drive my car daily for r k puram. Pl help.,dtptraffic
That day is not far when people visit India just to experience Indian railways. Way To Go.,RailMinIndia
East Coast Railway and Bakul Foundation to beautify Bhubaneswar station. Rail Analysis.,RailMinIndia
train no - 18030 coach no - b1 plz help us. train reached ngp railway station.,RailMinIndia
source of income? govt should prepare road side paid parking like. dubai.,dtptraffic
Take cognisance of defamation attempts.,DelhiPolice
It s the fact ratsandcockroach travelling withus free of cost. bedroll provded is not all hygenic visible staims r der.,RailMinIndia
HOWRAH DISPLAY ONE PLATFORM TICKET COSTS RS. 10/- AND SIMULTANEOUSLY A TICKET FOR HINDMOTOR IS OF RS. 5/- ONLY PASSENGER TO GO?,RailMinIndia
Teaching lesson of traffic is gud bt learning tvery difficult. Can you find out the real no.,dtptraffic
9756960489 Fans are not working due to electricity problem in Gorakhpur bandra special train02533.,RailMinIndia
DL 2SN 3998 burari main road 5 april 2016 no helmet 4:28 pm.,dtptraffic
Great news! Good work.,DelhiPolice
DL 3SL 8287 wrong side driving narayana road 8 april 2016 6:18 pm.,dtptraffic
People who keep there Footwears on fan of Non AC Coaches should be fined. There should be strict action against them.,RailMinIndia
Amazing recovers Car within 24 hours bet the team didn't sleep all night! Good pro-active policing!,DelhiPolice
heavy traffic jam opposite sisgunj gurudwara chandni chowk.,dtptraffic
The way train no: 02284 is staying at unrecognizable stations. I got my lesson to never travel in special trains.,RailMinIndia
blocking of this road will force people of Vikaspuri A block B Block M Block to take detour.,DelhiPolice
how did pol give clearance for the gate? Is it an internal road?,DelhiPolice
Emergency exit 23 of train 12702 is not working. How come passengers use it on the time of emergency. 1/2.,RailMinIndia
Maharashtra tops in Income Tax Returns in FY 2015-16.,IncomeTaxIndia
